,Day,Max_Temperature,Avg_Temperature,Min_Temperature,Max_Dew_Point,Avg_Dew_Point,Min_Dew_Point,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind_Speed,Avg_Wind_Speed,min_Wind_Speed,Max_Pressure,Avg_Pressure,Min_Pressure,Precipitation,month,year
150,11,109,96.8,82,34,28.8,25,13,9.3,6,17,9.0,2,27.7,27.6,27.6,0.00,6.0,2018.0
151,12,109,96.4,81,27,24.5,21,13,8.2,5,15,7.5,0,27.6,27.6,27.6,0.00,6.0,2018.0
152,13,106,95.5,84,28,25.0,19,12,8.4,5,14,7.2,0,27.6,27.6,27.5,0.00,6.0,2018.0
153,14,104,93.3,81,27,23.2,19,13,8.3,6,15,7.6,0,27.6,27.6,27.6,0.00,6.0,2018.0
154,15,106,94.7,81,34,25.6,16,14,8.8,6,16,8.3,3,27.7,27.6,27.6,0.00,6.0,2018.0
155,16,108,95.5,81,36,32.6,27,18,11.5,7,13,6.7,0,27.8,27.7,27.7,0.00,6.0,2018.0
156,17,106,95.8,81,36,29.5,21,12,9.7,7,25,15.0,7,27.8,27.7,27.6,0.00,6.0,2018.0
157,18,108,97.9,84,37,32.6,23,16,10.5,6,23,12.8,0,27.7,27.7,27.6,0.00,6.0,2018.0
158,19,109,97.0,82,37,33.0,30,16,10.9,7,16,7.2,2,27.7,27.7,27.6,0.00,6.0,2018.0
159,20,109,97.3,82,37,34.2,28,19,11.7,6,20,8.5,0,27.8,27.7,27.7,0.00,6.0,2018.0
160,21,108,97.5,86,39,33.2,25,17,11.1,6,21,12.3,5,27.8,27.7,27.7,0.00,6.0,2018.0
161,22,108,94.2,82,36,31.7,28,16,11.2,7,16,9.0,2,27.8,27.7,27.7,0.00,6.0,2018.0
162,23,106,93.7,81,41,32.5,30,18,11.9,7,15,9.5,5,27.8,27.7,27.6,0.00,6.0,2018.0
163,24,106,93.4,81,36,31.1,25,17,11.5,8,12,6.6,0,27.7,27.7,27.6,0.00,6.0,2018.0
164,25,106,94.3,79,36,29.8,21,13,10.3,8,14,8.1,5,27.7,27.7,27.6,0.00,6.0,2018.0
165,26,108,97.4,82,39,30.9,27,15,10.2,7,21,12.8,6,27.7,27.6,27.5,0.00,6.0,2018.0
166,27,108,101.1,88,36,30.5,25,15,8.9,6,26,16.8,0,27.6,27.6,27.5,0.00,6.0,2018.0
167,28,111,100.4,86,34,30.8,27,15,9.3,6,21,11.0,3,27.6,27.6,27.5,0.00,6.0,2018.0
168,1,108,96.2,82,36,25.8,16,13,8.6,4,15,9.1,3,27.7,27.6,27.6,0.00,7.0,2018.0
169,2,109,96.8,81,37,31.6,28,15,10.4,7,20,10.3,3,27.7,27.6,27.6,0.00,7.0,2018.0
170,3,111,98.8,88,30,27.6,23,13,8.6,5,17,11.4,7,27.6,27.6,27.5,0.00,7.0,2018.0
171,4,113,100.7,88,32,27.4,21,10,7.8,5,18,11.5,5,27.5,27.5,27.4,0.00,7.0,2018.0
172,5,113,101.8,90,36,30.1,27,11,8.5,5,14,8.8,3,27.5,27.5,27.4,0.00,7.0,2018.0
173,6,113,100.0,84,34,27.9,23,14,8.5,5,12,5.5,2,27.6,27.5,27.5,0.00,7.0,2018.0
174,7,111,98.8,84,32,24.1,19,12,7.5,4,13,4.5,0,27.6,27.6,27.5,0.00,7.0,2018.0
175,8,111,98.6,84,46,31.6,25,17,10.0,6,9,4.5,0,27.6,27.6,27.6,0.00,7.0,2018.0
176,9,113,100.6,86,37,29.7,25,14,8.7,5,16,8.7,3,27.7,27.6,27.6,0.00,7.0,2018.0
177,10,113,100.6,82,34,29.2,25,14,8.6,5,25,14.3,3,27.6,27.6,27.5,0.00,7.0,2018.0
178,11,111,97.2,0,30,24.1,0,11,7.0,0,20,12.8,7,27.6,27.6,27.5,0.00,7.0,2018.0
179,12,115,98.4,0,32,26.0,0,11,7.0,0,23,13.5,8,27.6,27.5,27.5,0.00,7.0,2018.0
180,13,113,101.0,88,34,27.7,21,11,7.8,5,21,12.6,5,27.5,27.5,27.5,0.00,7.0,2018.0
181,14,111,99.6,88,39,33.6,30,13,10.4,7,7,3.0,0,27.6,27.5,27.5,0.00,7.0,2018.0
182,15,113,101.4,88,37,33.4,30,17,9.8,6,8,4.6,0,27.6,27.5,27.5,0.00,7.0,2018.0
183,16,111,99.5,88,36,32.1,30,14,9.7,6,17,9.3,0,27.6,27.5,27.5,0.00,7.0,2018.0
184,17,109,96.5,82,36,31.8,28,15,10.5,7,14,8.6,3,27.6,27.6,27.5,0.00,7.0,2018.0
185,18,106,96.0,84,34,31.4,28,14,10.5,8,16,9.4,5,27.6,27.6,27.5,0.00,7.0,2018.0
186,19,106,95.5,82,32,29.7,25,14,10.2,8,15,6.5,0,27.6,27.6,27.6,0.00,7.0,2018.0
187,20,108,96.7,84,37,32.5,27,15,10.7,7,16,9.6,6,27.6,27.6,27.5,0.00,7.0,2018.0
188,21,108,96.5,84,34,31.0,27,15,10.3,6,15,9.3,3,27.6,27.6,27.6,0.00,7.0,2018.0
189,22,109,96.3,82,37,33.0,28,15,11.0,7,9,5.6,0,27.6,27.6,27.5,0.00,7.0,2018.0
190,23,108,96.6,82,36,33.3,30,16,11.2,8,9,4.4,0,27.6,27.6,27.5,0.00,7.0,2018.0
191,24,108,97.0,84,36,33.8,30,16,11.2,8,10,4.5,0,27.6,27.6,27.6,0.00,7.0,2018.0
192,25,108,96.9,82,34,32.9,32,16,11.0,7,12,5.6,0,27.7,27.6,27.6,0.00,7.0,2018.0
193,26,108,98.0,84,36,32.4,28,15,10.3,7,17,11.6,3,27.7,27.6,27.6,0.00,7.0,2018.0
194,27,108,101.2,91,34,30.7,27,12,8.7,7,29,21.7,10,27.7,27.6,27.6,0.00,7.0,2018.0
195,28,109,100.5,90,34,30.3,27,14,8.9,6,25,16.5,9,27.6,27.6,27.5,0.00,7.0,2018.0
196,1,109,97.5,84,37,34.9,34,16,11.5,7,15,7.4,3,27.7,27.6,27.6,0.00,8.0,2018.0
197,2,108,96.3,82,36,32.1,28,17,11.0,7,9,6.8,3,27.7,27.6,27.6,0.00,8.0,2018.0
198,3,108,95.5,81,34,30.7,28,15,10.6,7,9,4.3,0,27.7,27.6,27.6,0.00,8.0,2018.0
199,4,108,97.1,84,37,32.5,28,14,10.6,8,10,4.2,0,27.7,27.6,27.6,0.00,8.0,2018.0
200,5,113,100.3,88,36,33.6,32,14,10.1,7,10,5.2,0,27.7,27.6,27.6,0.00,8.0,2018.0
201,6,109,99.5,88,43,36.6,28,15,11.5,8,14,7.3,0,27.7,27.6,27.6,0.00,8.0,2018.0
202,7,109,99.9,86,41,34.2,25,19,10.8,7,21,12.3,5,27.6,27.6,27.6,0.00,8.0,2018.0
203,8,109,100.2,88,34,29.6,25,13,8.7,6,23,15.3,6,27.6,27.6,27.5,0.00,8.0,2018.0
204,9,108,97.9,86,39,33.6,30,15,10.8,8,21,11.6,5,27.6,27.6,27.6,0.00,8.0,2018.0
205,10,108,97.5,86,39,35.6,30,17,11.9,8,14,8.8,0,27.7,27.6,27.6,0.00,8.0,2018.0
206,11,108,94.6,82,39,33.8,32,17,12.0,8,13,6.0,0,27.7,27.7,27.6,0.00,8.0,2018.0
207,12,109,96.7,79,36,31.3,25,18,10.6,5,20,8.5,0,27.7,27.6,27.6,0.00,8.0,2018.0
208,13,108,96.3,81,36,31.5,25,14,10.4,7,20,11.1,6,27.6,27.6,27.5,0.00,8.0,2018.0
209,14,106,95.4,81,37,34.4,32,18,12.0,9,13,8.2,2,27.6,27.6,27.5,0.00,8.0,2018.0
210,15,108,95.2,81,36,31.6,25,17,11.0,7,13,6.7,3,27.6,27.6,27.6,0.00,8.0,2018.0
211,16,108,94.5,79,32,28.4,23,15,10.0,6,16,6.7,0,27.7,27.6,27.6,0.00,8.0,2018.0
212,17,109,95.4,79,34,31.2,28,18,10.9,6,14,7.4,2,27.7,27.6,27.6,0.00,8.0,2018.0
213,18,109,96.1,81,34,29.3,28,15,9.9,6,10,6.5,3,27.6,27.6,27.5,0.00,8.0,2018.0
214,19,109,96.2,81,30,26.5,21,13,8.8,5,12,5.4,0,27.6,27.6,27.5,0.00,8.0,2018.0
215,20,109,95.4,75,32,28.0,23,17,9.4,6,17,6.8,0,27.7,27.6,27.6,0.00,8.0,2018.0
216,21,108,95.2,81,32,29.7,27,15,10.3,7,23,11.0,3,27.7,27.6,27.6,0.00,8.0,2018.0
