,year,month,Day,Avg_Temperature,Avg_Dew_Point,Avg_Humidity,Avg_Wind_Speed,Avg_Pressure
328,2018.0,12.0,21,2.662566429627837,44.7,58.7,6.0,28.0
329,2018.0,12.0,22,2.6465550343398916,38.2,49.1,7.0,28.1
330,2018.0,12.0,23,2.629706998673886,37.8,53.4,3.1,28.1
331,2018.0,12.0,24,2.641035842035006,36.4,48.2,2.4,28.1
332,2018.0,12.0,25,2.652653251792001,36.6,45.1,3.8,28.1
333,2018.0,12.0,26,2.6533237498618596,37.0,46.5,4.6,28.1
334,2018.0,12.0,27,2.6690084637488334,37.6,44.1,6.0,27.9
335,2018.0,12.0,28,2.6923603510541243,41.3,42.7,6.4,27.9
336,2019.0,1.0,1,2.6499571862441496,49.8,75.4,4.7,28.1
337,2019.0,1.0,2,2.7051276667509883,50.3,58.1,6.8,28.0
338,2019.0,1.0,3,2.7201134161897933,43.0,39.9,9.6,28.0
339,2019.0,1.0,4,2.6566553948683835,35.0,42.7,7.3,28.2
340,2019.0,1.0,5,2.6579784222054226,31.3,36.3,3.5,28.1
341,2019.0,1.0,6,2.6982283525041137,32.5,29.3,7.2,27.9
342,2019.0,1.0,7,2.6964794618286514,41.9,42.8,6.4,27.9
343,2019.0,1.0,8,2.6606081924850358,41.0,50.2,5.1,28.0
344,2019.0,1.0,9,2.688786149215338,33.8,34.8,8.8,28.0
345,2019.0,1.0,10,2.6246237680418556,27.6,36.2,7.7,28.1
346,2019.0,1.0,11,2.6104144585589237,27.5,39.0,4.5,28.1
347,2019.0,1.0,12,2.636128066421535,27.6,35.4,3.8,28.0
348,2019.0,1.0,13,2.6857763105101826,24.5,23.0,7.1,27.9
349,2019.0,1.0,14,2.7051276667509883,30.6,26.1,6.3,27.9
350,2019.0,1.0,15,2.694132313493363,39.0,41.2,4.4,27.9
351,2019.0,1.0,16,2.7254845267288883,44.8,40.5,6.8,27.9
352,2019.0,1.0,17,2.701697066230312,32.1,30.5,11.3,27.9
353,2019.0,1.0,18,2.618715800122827,21.0,28.9,3.9,28.0
354,2019.0,1.0,19,2.6034631642382795,27.8,40.8,3.7,28.1
355,2019.0,1.0,20,2.597953639188079,26.9,40.5,2.5,28.1
356,2019.0,1.0,21,2.628262716842354,26.6,35.0,4.1,28.1
357,2019.0,1.0,22,2.6658037135119232,27.8,29.9,2.6,28.0
358,2019.0,1.0,23,2.690578330977535,29.2,27.5,4.8,27.9
359,2019.0,1.0,24,2.69996752143799,26.5,24.8,4.5,28.0
360,2019.0,1.0,25,2.719027881931607,23.8,18.5,4.8,27.9
361,2019.0,1.0,26,2.7179385207253515,28.3,22.5,3.8,28.0
362,2019.0,1.0,27,2.7349222909073068,31.0,22.3,9.2,28.0
363,2019.0,1.0,28,2.7359532191040934,38.8,30.0,15.6,27.9
364,2019.0,2.0,1,2.73232967917982,44.9,39.4,3.1,27.9
365,2019.0,2.0,2,2.7179385207253515,46.7,46.6,6.1,27.9
